"Symbol","Timestamp","Date","Time","Open","High","Low","Close","HL2","CandleSize","Change","EMA","EMAChange","RSI","RSIChange","SlowRSI","SlowRSIChange","MACD","MACDChange"
"usb05yusd",2010-07-26,"2010-07-26","00:00",119.38,119.457,119.172,119.39,119.3145,0.00238713460088782,0.0150789129779172,119.40466571274,-0.00272933918095131,58.7827885348114,0.361780318897265,61.0097545490514,-0.804624447202118,0.201017447987056,-10.2169669543343
"usb05yusd",2010-07-27,"2010-07-27","00:00",119.397,119.467,119.071,119.133,119.269,0.00332401601571354,-0.215260909623927,119.355271946788,-0.041366696734968,54.5866966142319,-7.13830021536754,59.8419258336296,-1.91416720826634,0.158352088201241,-21.2247047274037
"usb05yusd",2010-07-28,"2010-07-28","00:00",119.14,119.59,119.067,119.557,119.3285,0.00437448246443128,0.355904745116797,119.391949774644,0.0307299604437761,59.5954968144193,9.17586245525153,59.7971205574096,-0.0748727177408037,0.160736569256756,1.5058096692002
"usb05yusd",2010-07-29,"2010-07-29","00:00",119.549,119.982,119.477,119.974,119.7295,0.00420924533648953,0.348787607584677,119.497777088345,0.088638567257493,63.7361693462239,6.94796209971817,60.5133112462849,1.19770096318892,0.195822283470875,21.8280845338155
"usb05yusd",2010-07-30,"2010-07-30","00:00",119.982,120.251,119.941,120.235,120.096,0.0025782841934545,0.217547135212626,119.631817617737,0.112169893581071,66.0297830852743,3.59860619578689,61.5163061261012,1.65747809723078,0.241001365707817,23.0714714567514
"usb05yusd",2010-08-01,"2010-08-01","00:00",120.191,120.214,120.136,120.143,120.175,0.000649226338613177,-0.0765168212251033,119.724759869058,0.0776902442605198,64.5157476058505,-2.29295843281589,62.0616591224192,0.886517787983165,0.262307069602556,8.84049093753692
"usb05yusd",2010-08-02,"2010-08-02","00:00",120.136,120.17,119.973,120.051,120.0715,0.00164096925473343,-0.0765754142979636,119.784076256502,0.0495439602542724,62.9952683244603,-2.35675681955878,62.231406250063,0.273513679853443,0.265571342709009,1.24444724703712
"usb05yusd",2010-08-03,"2010-08-03","00:00",120.043,120.54,120.043,120.405,120.2915,0.00412773555915452,0.294874678261747,119.896971482592,0.0942489432809612,66.219814713701,5.11871204775654,62.9565714252699,1.16527203690846,0.294038465351292,10.7191997268602
"usb05yusd",2010-08-04,"2010-08-04","00:00",120.413,120.576,120.033,120.203,120.3045,0.00451735813582017,-0.167767119305673,119.952613031212,0.0464078015745883,62.9262390306904,-4.97370114557135,62.9510564444373,-0.00875997645327642,0.292530777517626,-0.512751905389142
"usb05yusd",2010-08-05,"2010-08-05","00:00",120.195,120.41,120.02,120.361,120.215,0.00324025224117447,0.131444306714479,120.026865207355,0.0619012577274702,64.3847115953899,2.31774945899461,63.2117210173378,0.414074977646384,0.300028882584172,2.56318501942718
"usb05yusd",2010-08-06,"2010-08-06","00:00",120.353,120.764,120.25,120.637,120.507,0.00426071603239467,0.229310158606189,120.137798806018,0.0924239739753752,66.7872216583417,3.73149153490016,63.8618120429748,1.02843430802775,0.324280226463159,8.08300309960439
"usb05yusd",2010-08-08,"2010-08-08","00:00",120.632,120.64,120.609,120.632,120.6245,0.000256979905829348,-0.00414466540116232,120.22765356856,0.0747930821400233,66.7014189217392,-0.128471786177042,64.3781042027502,0.808452098772117,0.33618437753438,3.67094571292745
"usb05yusd",2010-08-09,"2010-08-09","00:00",120.624,120.739,120.469,120.469,120.604,0.00224124048510414,-0.135121692419926,120.271534737913,0.036498399536411,63.8849788645343,-4.22245898623159,64.2884450503473,-0.139269637578199,0.325062612699071,-3.30823368916708
